TicketId,Text
14,سلام خسته نباشید. ببخشید توی یکی از قسمت های چالش گفته شده که یک مجموعه داده رو به عنوان ورودی به برنامه بدیم(سوال ۱۱ چالش). این کار رو چطور باید انجام بدیم؟ همچین چیزی آموزش داده نشده. باید تحقیق کنیم؟ و بعد اینکه ما چطور این مجموعه رو برای تک تک داده ها صحت سنجی کنیم و درصد درست کار کردن برنامه مون رو بفهمیم؟ میشه یکم توضیح بدید؟ یا اینکه باید بریم و تحقیق کنیم و به نتیجه برسیم؟ ممنون از شما
14,سلام انشاالله که خوب باشید ببخشید برای سوال اخر قسمت اول جلسه 15(پیاده‌سازی الگوریتم‌های یادگیری ماشین(2)) من سوال آخر گزینه خودم رو گزینه 3 زدم میخواستم ببینم سامانه هم همین گزینه رو گرفته یا نه ؟ ممنون
14,ببخشید الان CNN-قسمت4 امتیاز من 6 هست یا 4 ؟
14,ببخشید فکر کنم قسمت اول شبکه‌های تبدیل‌کننده (Transformers) قسمت دانلود تمرینش مشکل داره و تمرین قسمت اول شبکه های دنباله به دنباله رو بارگذاری کردید
14,خیلی ممنون . من فایل جدیدی رو براتون نمیفرستم فقط اگر میشه کدم رو یک ارزیابی بکنید و اگر خوب بود امتیاز کد رو بهم بدید . یا خودتون عکسی رو که باید روش کار میکردم رو به برنامم بدید ببینید کار میکنه یا نه . بازم هر جور شما صلاح میدونید . با تشکر
14,"سلام انشاالله که خوب باشید ببخشید درباره تمرین پنجم جلسه ""مدل GAN و انواع آن"" امتیاز 1 از 10 رو به من داده و توضیح هم این هست ""کد خروجی ندارد.""در حالی که سوال این بوده""فرض کنید یک دیتاست از یک سری عکس مشخص به شما داده شده است اما تعداد آنها برای آموزش شبکه عصبی مناسب نیست. به کمک یک شبکه یک الگوریتم پیاده کنید که تعدادی عکس مشابه با دیتاست داده تولید کند و دیتاست را گسترش دهید.""که کد من فکر کنم این کار را درست انجام داده ولی یکی سوال خروجی این سوال باید چی باشه ؟آیا باید همه تصاویر درست شده را چاپ کنم ؟ ممنون میشم جواب بدید"
15," سلام اگر به مشکلات فنی پشتیبانی غیر اموزشی  , آموزشی پاسخ نمیدهد بفرمایید تا تیکت نزنیم "
16,با سلام خدمت شما در مراحل اجرا و خروجی کال مشکل دارم
17,سلام در محتوای آموزشی قسمت نصب برنامه پایتون ۱  تا ثانیه منفی ۳ دقیقه و ۱۳ ثانیه مراحل نصب را انجام دادم اما وقتی کد را می نویسم نمی توانم آن را اجرا کنم در آموزش میگوید در این زمان اکستنشن پایتون را نصب کنید ولی برای من در پایین سمت راست صفحه هیچی پیامی جهت نصب اکستنشن پایتون نمی آید
18,سلام وقت بخیر بخشید نمی دونم چطور باید جلسات حل تمرین رو ببینم
19,با سلام  من در پایتون ۳ قسمت ۴ با اینکه ویدئو را دیدم ولی ۳ سوال برای من فعال نشد که تیک بزنم هنوز هم توی ویدئو مکان بیان سوالات نارنجی هست  لطفا بررسی فرمایید 
20,"سلام خسته نباشید وقتتون بخیر ⚘🌸💐  یک سوال داشتم اما مطمن نیستم باید از پشتیبانی غیر آموزشی بپرسم یا اموزشی اگر اشتباه میپرسم ببخشید 🙏⚘   درآمد مهندس های هوش مصنوعی چقدر هست ؟فکر کنم رشته ی جدیدی هست تو گوگل پیدا نکردم ، چون انتخاب رشته دارم میپرسم . خیلی ممنونم از زحماتتون 💐"
20,سلام وقتتون بخیر شرمنده مزاحم شدم ⚘🙏🙏 ببخشید من وقتی وارد وی اس کد میشم زمانی که میخوام کدم رو اجرا کنم و مثلث رو میزنم هیج اتفاقی نمیفته و کدم اجرا نمیشه باید چیکار کنم ؟
20,...
21,"سلام خسته نباشید فیلم اموزشی چرا نمی گذارید، من میخوام عمیق تر یادگیری عمیق رو یاد بگیرم، چیکار باید بکنم؟"
22,ینی فایل پایتون رو همراه ورد زیپ کنیم ارسال کنیم . ولی من برای تمام تکالیف کد رو داخل فایل ورد کپی کردم
22,سلام 
22,خسته نباشید. برای سفارش سیمکارت به مشکل خوردم . میشه راهنمایی بفرمایید
23,درود خدمت اوپراتور گرامی. اینجانب ضمن تشکر از شما به خاطر شنیده شدن حرفم از شما تشکر و بهترین هارا برای شما و تیم قدرت مند کیبرد آرزومندم. با تشکر از شما:)
24,"سلام امیدوارم حالتون عالی باشه،  من با ذوق خیلی زیادی اینجا ثبت نام کردم نمیتونم بگم چقدر عاشق هوش مصنوعی هستم  اما با چالش های عجیبی توی زندگی از اردیبهشت روبه رو شدم که منو دور کرد و دسترسی نداشتم  و میخواستم کمکم کنید بتونم برگردم الان زمان ارسال تکلیف ها تموم شده من اگر تا اخر خرداد همشونو بفرستم میتونم ادامه بدم؟ امتیاز میگیرم  من واقعا از اعماق وجودم ناراحتم من میدونم شما درکم میکنید درسته؟:))) "
24,سلام  چرا اطلاع رسانی ها پیامکی نیست  من تا اول تیرماه دوره هایی که عقب افتاده بودو تکمیل کردم و همهههه ی تکالیف انجام داده بودم ولی از اطلاع رسانی خبر دار نشده بودم  این نامردیه:)))
25,سلام و وقت بخیر  نحوه دسترسی به منابع تکمیلی که اساتید محترم در پایان جلسه نمایش می دهند چگونه است؟  (این سوال از همکاران محترم پشتیبانی آموزشی سوال شده و به پشتیبانی غیر آموزشی ارجاع نمودند) با تشکر
26,سلام روز بخیر ببخشید چه کسانی دعوت به دوره حضوری می شوند؟ 
27,مقدمه‌ای بر شبکه‌های عصبی قسمت 6:در این درس علیرغم اینکه به دو سوال از سه سوال هنوز پاسخ داده نشده ولی متاسفانه امکان پاسخ دادن سلب شده است. لطفادمشکل برطرف شود.
27,در درس مقدمه‌ای بر یادگیری عمیق قسمت 1 نیز جواب سوالات خصوصا جواب سوال سوم که نوشته با CPU نمی توان پردازش عمیق انجام داد صددرصد اشتباه است ما بقی جواب ها نیز با توجه به محتوای درسی ارایه شده به نظر درست نمی رسد
27,لطفا اگر امکان تماس تلفنی هست اطلاع دهید
27,سلام چرا همه تمربنات من نمره 3 می گیرد در حالی که وقت آن نبز باقی مانده است
27,استاد گفتند فایلی برای نحوه دریافت اطلاعات مثل دیکشنری جملات می گذارند ولی در محتوای آموزشی نیست کجا می توان این فایل را دریافت کرد
27,آموزش جدید درسایت بارگذاری شده یا نه اگر بارگذاری شده چرا من به آموزشهای جدید دسترسی ندارم
28,سلام من سیستم خوب ندارم که بتوانم با vs codکار کنم    چکار کنم
28,الانvs cod ویندوز هفت یا ده نیاز داره مال من ویندوز xp استیعنی کمتر از ویندوز 7 
29,سلام من یه سوال داشتم  من پایتون و vcodeرو نصب کردم اوم مثلت سمت راست بالای نرم افزار که دستورات رو نمابشمی دهنداره باید چکارکنم؟ 
30,"سلام و خدا قوت . هرکار کردم کتابخانه پانداس برایم نصب نشد. (از پایتون 3.12 وی اس کد 1.83 برای ویندوز 10، 32 بیتی استفاده می کنم) پیام خطای زیر برایم می آید که نمی دانم مشکل از چیست. ممنون می شوم راهنمایی فرمایید C:\Users\hossin>pip install pandas Collecting pandas   Using cached pandas-2.2.2.tar.gz (4.4 MB)   Installing build dependencies ... done   Getting requirements to build wheel ... done   Installing backend dependencies ... done   Preparing metadata (pyproject.toml) ... error   error: subprocess-exited-with-error    × Preparing metadata (pyproject.toml) did not run successfully.   │ exit code: 1   ╰─> [12 lines of output]       + meson setup   C:\Users\hossin\AppData\Local\Temp\pip-install-pqtexbmu\pandas_ee19aa022ee740c8a8202c92f5903e06 C:\Users\hossin\AppData\Local\Temp\pip-install-pqtexbmu\pandas_ee19aa022ee740c8a8202c92f5903e06\.mesonpy-y24ovenf\build -Dbuildtype=release -Db_ndebug=if-release -Db_vscrt=md --vsenv --native-file=C:\Users\hossin\AppData\Local\Temp\pip-install-pqtexbmu\pandas_ee19aa022ee740c8a8202c92f5903e06\.mesonpy-y24ovenf\build\meson-python-native-file.ini        The Meson build system       Version: 1.2.1       Source dir: C:\Users\hossin\AppData\Local\Temp\pip-install-pqtexbmu\pandas_ee19aa022ee740c8a8202c92f5903e06       Build dir: C:\Users\hossin\AppData\Local\Temp\pip-install-pqtexbmu\pandas_ee19aa022ee740c8a8202c92f5903e06\.mesonpy-y24ovenf\build       Build type: native build       Project name: pandas       Project version: 2.2.2       ..\..\meson.build:2:0: ERROR: Could not find C:\Program Files\Microsoft Visual Studio\Installer\vswhere.exe       A full log can be found at C:\Users\hossin\AppData\Local\Temp\pip-install-pqtexbmu\pandas_ee19aa022ee740c8a8202c92f5903e06\.mesonpy-y24ovenf\build\meson-logs\meson-log.txt       [end of output]   note: This error originates from a subprocess, and is likely not a problem with pip. error: metadata-generation-failed × Encountered error while generating package metadata. ╰─> See above for output. note: This is an issue with the package mentioned above, not pip. hint: See above for details. [notice] A new release of pip is available: 24.0 -> 24.2"
31,؟؟؟؟؟؟؟؟؟؟؟؟؟؟؟
32,سلام من تا قسمت سوم پایتون 2 دیدم  می تونم چالش رو انجام بدم یا برای انجامش به چیزهایی که در آموزش های بعدی هست نیاز دارم؟؟
33,سلام وقت بخیر ببخشید من در برنامه نویسی بایتون به مشکل بر خوردم برنامه ی وی اسکود من متاسفانه هر کدی که می نویسم رو اجرا نمی کنه و یا نصفه نیمه اجرا می کنه نمی دونم باید چی کار کنم میشه راهنماییم کنید  ممنون  
34,میخواستم اکانت کیبورد ام را از شماره 09140702123  به شماره 09137818938 تغییر بدین
35,"سلام، تو قسمت سه پایتون 2 من برای تمرین بستنی به یه مشکلی برخورد کردم:) چرا انقدر زمان برای تمرین کم گذاشتین"
36,"سلام وقتتون بخیر خسته نباشید  من تا قبل از اینکه فیلم اموزشی نحوه ارسال تمارین رو ببینم ، تمارینی که نیاز به کد پایتونی داشتند رو : عکس از صفحه ای که کد زدم میگرفتم و در فایل ورد قرار میدادم .(مثل فایل پیوست شده)الان اگر بخواهم که ویرایش کنم ، 2 امتیاز از دست میدم . ایا این روش من قبوله ؟"
36,🙏🙏🙏❤️
36,سلام وقت بخیر . تمارین جلسه یازدهم (تحلیل داده و مصورسازی) رو باید کد تمرین رو به صورت فایل پایتونی بدیم یا به صورت لینکی از سایت گوگل کولب (Google Colab)؟ 
37,سلام ببخشید اگر امتیازات اعلام شده در صفحه اصلی کسب نشده باشه توانایی شرکت در مسابقه و رفتن به بوت کمپ وجود نداره؟ حتی اگر داخل 100 نفر در پردازش تصویر باشی؟
38,خبر خوب چیه؟😁 قراره یه مینی پروژه شروع کنیم؟ یا با یه استاد عالیه دیگه قراره اشنا بشیم؟یه چیزی قراره تو خود روند فعلی اصلاح شه یا یه چیز جدیده؟
38,"سلام، آرماند دوپلانتیس درسته که بیشترین پرش رو تو این دوره المپیک داشته اما رکورد همه‌ی قبلی هارو هم شکسته برای همین به بلندترین مرد جهان تبدیل شده. رکورد قبلی دنیا:۶.۲۴ رکورد قبلی المپیک:۶.۰۳ پرش آرماند:۶.۲۵"
39,سلام
39,"برای بوت کمپ فروردین سال بعد تا چند نفر را انتخاب می کنید، من توی سایتتون جایی برای ثبت نام در بوتکمپ ندیدم"
39,چجوری میتونم بعد از اینکه گروبپ بای سایز زدم بفهمم که کدام یک از فلان سطر بیشتر انتخاب شده است؟آیا تابع تعریف شده ای در پابتون برای این کار وجود دارد؟
39,"سلام.در کانال خلاصه وبینار قرار نگرفته بود.اگر قرار هست که در کانال گذاشته شود،که هیچی؛اما اگر گذاشته نمی شوند،لطفا برای من بنویسید و یا کلا در اطلاع رسانی سایت اعلام کنید.ممنون."
40,سلام  چجوری می تونم شماره همراه پنلم رو تغییر بدم 
41,"سلام، وقت بخیر  من یک سوالی داشتم، اگر من بخوام شاخه‌ی پردازش تصویر رو انتخاب کنم، احتیاج به لپ‌تاپ خاصی دارم؟"
42,سلام و وقت بخیر می شه لطفا یه راه ارتباطی با بقیه ی دانش اموزان قرار بدین تا ما ایده هامون رو به اشتراک بزاریم و یا حتی از الان برای گروه بندی اماده تر شویم
42,از پاسخ سریعتون متشکرم خسته نباشد
42,سلام چگونه می توان با تصحیح کنندگان ارتباط برقرار کرد؟
43,2024
44,سلام و وقت به خیر خسته نباشید میخواستم اگر لطف کنید بنده را راهنمایی کنید که چرا مدلی که آموزش میدهم نتیجه خوبی ندارد و آندرفیت میشود
44,این رو هم باید ذکر کنم که این نتیجه 3 اپوک نیست و قبل از اون هم چند اپوک ترین شده و نتیجه تفاوتی نداشته حتی با لرنینگ ریت های مختلف اگر لازم هست بازم هم بزارم آموزش ببینه؟
44,بنده این رو به عنوان تمرین چند جلسه قبل انجام دادم و هنوز جلسه آخر رو ندیده بودم حالا که دیدم متوجه شدم همین تمرین است ظاهرا نیاز به یک سری بهبود داره که در جلسه گفته شده من آنها را انجام میدهم اگر مشکل رفع نشد دوباره مزاحم میشوم تشکر از شما
45,سلام خسته نباشید یک سوال... مجموعه داده های پیکره طاقچه را برای پردازش متن از کجا باید دانلود کنم؟؟
45,سلام خسته نباشید. من یک توکن آیزر ساده ساختم که حدود نوزده هزار تا کلمه فارسی داخلشه می خواستم اگه میشه یک برسی بکنید و به من بگویید آیا می توانم از این برای پروژه های بزرگ تر استفاده بکنم؟ اگر این کار را برای من بکنید ممنونتان می شوم با تشکر از شما
45,استاد بجانی در یکی از ویدیو ها گفتند که روشی وجود دارد که می توان توکن آیزر را نامحدود کرد اگر می شود آن روش را به من به گویید؟ باتشکر❤️
45,سلام خسه نباشید علت خطای این برنامه چیست: چرا خانم محمدی انقدر زمان کمی برای ارسال تمرین گذاشتن
45,در قسمت لودر چرا خطا می دهد
46,سلام و عرض خسته نباشید  ساختار Skip-Gram به چه منظور در شبکه CGAN  استفاده می‌شود؟ الف) شناسایی محور ویژگی کلمه‌ها ب) تولید عکس‌های متفاوت از یک کلمه خاص ج) تولید تگ و لیبل متنی برای کاربردهای تبدیل و ترجمه متن ؟ د) پیشگیری از بیش برازش در شبکه اصلی میشه بگید چرا گزینه 3 میشه ؟ من هم میخواستم اول گزینه 3 را بزنم اما بعد که ترجمه متن را دیدم منصرف شدم و با خودم گفتم که نزدیک ترین به جواب گزینه الف هستش چون که ج تا یک تیکه درست بود بعد با ترجمه متن خرابش کرد ؟ ممنون میشم اگر توضیح بدید 
46,آموزش شبکه G با ساختار چرخشی عکس ها صورت می گیرد ؟
46,"سلام مگر تابع خطا برای simCLR ، nt_xent نیست ؟"
46,سلام میتونم بدونم چرا تمرین   مدل GAN و انواع آن قسمت ۵  رو 0 امتیاز گرفتم ؟
47,پردازش متن و تصویر اموزش فاز دومه؟ چرا تو سایتتون اطلاع رسانی نکردید
48,"خب راستش هدفم این بود که یه چیزی یاد بگیرم، و خودمم علاقه ی خیلی زیادی به کار با تکنولوژی و این صحبتا دارم، و وقتی که کار بچه های سال پیش رو دیدم که اومده بودن اونجا، دلم خواست که من هم بیام، ولی با اینجال اگر  نشد هم طوری نیست، به هر حال یک چیزی یاد گرفتم که واقعا با ارزشه، ولی خب من حتی المپیاد تابستانی هم نتونستم امتیاز زیادی کسب کنم،به طور کلی میخوام بگم که اگر نتونستم توی محور ها شرکت کنم طوری نیست ولی واقعا ایده اله "
49,من الان نفر 102 هستم در پردازش تصویر فقط به یکم امتیاز نیاز دارم تا جز اون صد نفر باشم . کاش یکم مارو درک کنید . شرایط و امکانات ما با هم فرق داره من حتی یه لپ تاپ خودم ندارم و باید برای تمرین کردن لپ تاپ دوستمون قرض کنم . حق ما نباید ضایع بشه . من الان فقط از طریق تمرین میتونم امتیاز کسب کنم راه دیگه ای ندارم
